denkmalnummern,hauptstruktur,periode,gemeinde,gemeinde_wkt,landkreis,regierungsbezirk,bibliographie,befund_e1,befund_e2,befunde_e3,lng_gk,lat_gk,lng_wgs84,lat_wgs84,DenkmalNummer,fender_typ,fender_zeitstellung,Höhe_SRTM1_puffer50m,Neigung_SRTM1_puffer50m,Hangausrichtung_SRTM1_puffer50m,Loess_1zu500k_puffer50m,Wasser_puffer50m,Umfeldanalyse_km2,Viewshed_km2,CorineCode,Reliefenergie,Frosttage_Jahr,Niederschlag_Jahr,Niederschlag_Sommer,Niederschlag_Frühling,Sonnenstunden_Jahr,Sonnenstunden_Frühling,Sonnenstunden_Sommer,Temperatur_Jahr,Temperatur_Sommer,Temperatur_Frühling
D-6-6221-0019,Siedlung,HA,Großheubach,POINT(9.23385 49.73544),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4300783,5514259,9.235042569443118000,49.731936963053535000,D-6-6221-0019,Siedlung,Hallstattzeit,"157,50","4,12","291,36","2436,34","186,06","32,49","19,87",112,65,74,782,202,197,1608,493,660,"9,6","17,7","9,3"
D-6-6121-0062,Siedlung,HA,Kleinwallstadt,POINT(9.1895 49.869),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4298079,5532093,9.188312746026291000,49.891184624821875000,D-6-6121-0062,Siedlung,Hallstattzeit,"259,92","7,10","219,12","0,00","1782,95","37,06","35,50",211,36,81,780,213,196,1624,498,658,"9,4","17,5","9,2"
D-6-6121-0048,Grab,HA,Kleinwallstadt,POINT(9.1895 49.869),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4300660,5528800,9.225884316385844000,49.862478045364732000,D-6-6121-0048,"Bestattung, Hügelgrab",Hallstattzeit,"325,08","6,29","223,08","1496,44","3652,79","34,05","23,90",313,47,87,853,226,211,1617,494,653,"8,9","17,0","8,6"
D-6-6121-0047,Grab,HA,Kleinwallstadt,POINT(9.1895 49.869),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4300287,5528835,9.220684624905612000,49.862668176229008000,D-6-6121-0047,"Bestattung, Hügelgrab",Hallstattzeit,"296,82","7,50","246,13","1516,11","3564,78","34,52","25,70",312,90,87,853,226,211,1617,494,653,"8,9","17,0","8,6"
D-6-6121-0046,Grab,HA,Kleinwallstadt,POINT(9.1895 49.869),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4296631,5529723,9.169431527612540000,49.869412789061919000,D-6-6121-0046,Bestattung,Hallstattzeit,"123,38","1,01","209,82","987,01","590,95","46,23","108,56",112,5,71,713,198,184,1622,501,667,"10,0","18,3","10,0"
D-6-6121-0045,Grab,HA,Kleinwallstadt,POINT(9.1895 49.869),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4298080,5531658,9.188553688633547000,49.887278753216719000,D-6-6121-0045,"Bestattung, Hügelgrab",Hallstattzeit,"260,85","8,35","228,55","241,35","1711,62","37,01","0,43",312,36,82,800,216,201,1630,500,658,"9,3","17,4","9,1"
D-6-6121-0044,Grab,HA,Kleinwallstadt,POINT(9.1895 49.869),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4298103,5531994,9.188698008411563000,49.890303718738444000,D-6-6121-0044,"Bestattung, Hügelgrab",Hallstattzeit,"267,08","2,96","255,71","0,00","1786,14","37,17","0,98",312,36,82,800,216,201,1630,500,658,"9,3","17,4","9,1"
D-6-6121-0016,Grab,HA,Kleinwallstadt,POINT(9.1895 49.869),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4299739,5526883,9.214080373928875000,49.844956290148140000,D-6-6121-0016,"Bestattung, Hügelgrab",Hallstattzeit,"314,46","4,09","140,78","622,38","1731,39","32,45","10,09",313,47,91,880,233,216,1616,493,651,"8,7","16,8","8,4"
D-6-6021-0038,Befestigung,LTD1,Leidersbach,POINT(9.23386 49.89643),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4299946,5535005,9.212756704545450000,49.917960976696229000,D-6-6021-0038,Ringwall,Hallstattzeit,"341,33","6,41","273,50","2097,53","387,14","17,99","7,44",312,177,78,794,212,199,1612,497,658,"9,5","17,8","9,4"
D-6-6021-0038,Lesefund,LTA,Leidersbach,POINT(9.23386 49.89643),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4299946,5535005,9.212756704545450000,49.917960976696229000,D-6-6021-0038,Ringwall,Hallstattzeit,"341,33","6,41","273,50","2097,53","387,14","17,99","7,44",312,177,78,794,212,199,1612,497,658,"9,5","17,8","9,4"
